"","product_id","year","month","total_sales"
"339","V1216E                   ",2018,1,1626.90002441406
"340","V1206G                   ",2018,1,949.97998046875
"341","V1058H                   ",2018,1,1890.97001647949
"342","UPLUG406                 ",2018,1,306
"343","UMR3                     ",2018,1,1992
"344","TX30V                    ",2018,1,285
"345","TX30G                    ",2018,1,1464
"346","TCR75                    ",2018,1,11641.4399414062
"347","SXPP1A407                ",2018,1,456
"348","SXPP1A402                ",2018,1,216
"349","SXPD2B202                ",2018,1,210.389999389648
"350","SXPD2B200                ",2018,1,420.779998779297
"351","SXMP1B103                ",2018,1,576
"352","SRC14123020              ",2018,1,515
"353","PVPM                     ",2018,1,4884.52001953125
"354","POUCH                    ",2018,1,5028
"355","PN8613H                  ",2018,1,326.200012207031
"356","PMR35                    ",2018,1,33.5999984741211
"357","PDP9124H                 ",2018,1,130.369995117188
"358","PDP333H                  ",2018,1,3285.50012207031
"359","PDP1936T                 ",2018,1,434.220001220703
"360","PDP15H                   ",2018,1,1545.05004882812
"361","PCEE60A                  ",2018,1,6152.09997558594
"362","PCDJ1                    ",2018,1,2882.76000976562
"363","PCDG1                    ",2018,1,2239.20004272461
"364","P3DPM1                   ",2018,1,320.759994506836
"365","P3DPL1                   ",2018,1,108
"366","N267H                    ",2018,1,905.099975585938
"367","MPY683H                  ",2018,1,2143.92997741699
"368","MPY500H                  ",2018,1,137.309997558594
"369","MCS20                    ",2018,1,5570.16000366211
"370","MCP925H                  ",2018,1,154.240005493164
"371","MCP4423H                 ",2018,1,1434
"372","MCL20                    ",2018,1,4621.5
"373","K5ST                     ",2018,1,1710
"374","HARH36                   ",2018,1,31938.4599609375
"375","HAR9F                    ",2018,1,68813.9399414062
"376","HAR23                    ",2018,1,24600
"377","H12LP                    ",2018,1,2864.87997436523
"378","GST60W                   ",2018,1,8796
"379","GST60G                   ",2018,1,12142.4399414062
"380","GST45B                   ",2018,1,1800
"381","GMS805                   ",2018,1,1825.26000976562
"382","ET007533                 ",2018,1,3900
"383","EPS03                    ",2018,1,5971.90026855469
"384","EPS01                    ",2018,1,866.320007324219
"385","EPH04                    ",2018,1,8802.14001464844
"386","EJ10C                    ",2018,1,2800
"387","EH7939H                  ",2018,1,3142.37994384766
"388","EH7835H                  ",2018,1,69.7900009155273
"389","EH7796H                  ",2018,1,298.799987792969
"390","EH7794H                  ",2018,1,1171.44000244141
"391","EH7598G                  ",2018,1,1698.47998046875
"392","ECR60W                   ",2018,1,3476.16003417969
"393","ECR60B                   ",2018,1,6000
"394","D132705                  ",2018,1,1450
"395","CSP10020030              ",2018,1,1500
"396","CS40B                    ",2018,1,2632.5
"397","CREFP6                   ",2018,1,700
"398","CPL10020630              ",2018,1,637.5
"399","CPL10020330              ",2018,1,500
"400","CDX18104030              ",2018,1,679.25
"401","CDF10041030              ",2018,1,658.75
"402","CDF10040630              ",2018,1,521
"403","CDF10020430              ",2018,1,637.5
"404","CDF10020230              ",2018,1,521
"405","C9260                    ",2018,1,913.729995727539
"406","BP340                    ",2018,1,7170.4700012207
"407","BCD10                    ",2018,1,363.600006103516
"408","B409TG                   ",2018,1,1412.28002929688
"409","B12LT                    ",2018,1,12763.5
"410","960821",2018,1,339.570007324219
"411","8871H                    ",2018,1,700.650024414062
"412","8721H                    ",2018,1,189.740005493164
"413","8707H                    ",2018,1,185.259994506836
"414","8682H                    ",2018,1,122.680000305176
"415","8425H                    ",2018,1,817.739990234375
"416","8412H                    ",2018,1,697.679992675781
"417","8411H                    ",2018,1,5172.27990722656
"418","828807",2018,1,1875
"419","823072",2018,1,833.909973144531
"420","823056",2018,1,104.160003662109
"421","810081",2018,1,2596.79992675781
"422","801403",2018,1,104.980003356934
"423","801402",2018,1,101.680000305176
"424","67025890",2018,1,196
"425","660H                     ",2018,1,546.789978027344
"426","641CX0308                ",2018,1,660.25
"427","641CX0202                ",2018,1,1320.5
"428","606S155X                 ",2018,1,380
"429","55625800",2018,1,1974
"430","55625000",2018,1,98
"431","546312000",2018,1,75.120002746582
"432","411961",2018,1,4404.64996337891
"433","3DPL1                    ",2018,1,106.919998168945
"434","36J13R                   ",2018,1,1000
"435","3548223",2018,1,10091.080078125
"436","3544275",2018,1,1798.63000488281
"437","3543009",2018,1,5395.89001464844
"438","3542509",2018,1,1798.63000488281
"439","3542501",2018,1,3597.26000976562
"440","3541358",2018,1,2679.59008789062
"441","3541158",2018,1,2679.59008789062
"442","3506004BC                ",2018,1,7138.85009765625
"443","3503504BC                ",2018,1,11422.16015625
"444","3503251BC                ",2018,1,8566.6201171875
"445","3341456",2018,1,2679.59008789062
"446","3341355",2018,1,2679.59008789062
"447","3341353",2018,1,5359.18017578125
"448","3341306",2018,1,2679.59008789062
"449","3341302",2018,1,2679.59008789062
"450","3341156",2018,1,5359.18017578125
"451","3245450",2018,1,3597.26000976562
"452","3245175",2018,1,1798.63000488281
"453","3244650",2018,1,3597.26000976562
"454","314.03",2018,1,1118
"455","2CB5ST                   ",2018,1,552
"456","2B12LT                   ",2018,1,7416
"457","292.520.10               ",2018,1,736
"458","292.200S                 ",2018,1,188
"459","Z626E                    ",2018,1,442.399993896484
"460","287789",2018,1,487.5
"461","284610",2018,1,980
"462","241.401",2018,1,400
"463","241.381",2018,1,400
"464","231819",2018,1,245
"465","231817",2018,1,980
"466","231816",2018,1,245
"467","231735",2018,1,223.070007324219
"468","231725",2018,1,446.140014648438
"469","228140",2018,1,185
"470","227504",2018,1,156
"471","2230",2018,1,3267.69009399414
"472","223.412",2018,1,5250
"473","222271",2018,1,5040
"474","214141",2018,1,982.399993896484
"475","214116",2018,1,140
"476","214.844",2018,1,200
"477","212035",2018,1,5070
"478","212.117",2018,1,255
"479","202.882S                 ",2018,1,173
"480","202.878S                 ",2018,1,390
"481","201.762",2018,1,1100
"482","201.363",2018,1,234
"483","1985",2018,1,2402.21997070312
"484","1865G                    ",2018,1,216.380002975464
"485","158125012",2018,1,190
"486","158124010",2018,1,190
"487","129453205",2018,1,600
"488","12521",2018,1,50
"489","124603000",2018,1,100
"490","12415",2018,1,504
"491","12407",2018,1,302
"492","121928150",2018,1,168
"493","121731052",2018,1,3850
"494","10144",2018,1,476.300003051758
"495","10113",2018,1,2254.94003295898
"496","02.210.124               ",2018,1,375
"497","02.210.116               ",2018,1,750
"498","02.120.706S              ",2018,1,5661
"499","02.118.520               ",2018,1,786
"500","02.112.048               ",2018,1,9590.400390625
"501","Z315H                    ",2018,1,998.400024414062
"502","Z303H                    ",2018,1,998.299987792969
"503","Y3416H                   ",2018,1,104.529998779297
"504","Y3120H                   ",2018,1,278.279998779297
"505","Y3110H                   ",2018,1,1212.50003051758
"506","XR30G                    ",2018,1,780
"507","WS383H                   ",2018,1,104.429998397827
"508","WS366H                   ",2018,1,228.590000152588
"509","W9915                    ",2018,1,37.2900009155273
"510","W9863T                   ",2018,1,188.849998474121
"511","W9794T                   ",2018,1,189
"512","W9753                    ",2018,1,1857.13000488281
"513","W9740T                   ",2018,1,81.9499969482422
"514","W969                     ",2018,1,87.1099967956543
"515","W9505T                   ",2018,1,224.669998168945
"516","W9391                    ",2018,1,45.3699989318848
"517","W9381H                   ",2018,1,73.7799987792969
"518","W9380H                   ",2018,1,302.540008544922
"519","W9378                    ",2018,1,39.1800003051758
"520","W9350                    ",2018,1,17.7199993133545
"521","W9324T                   ",2018,1,200.389999389648
"522","W9255T                   ",2018,1,83.2900009155273
"523","W9138                    ",2018,1,75.0900001525879
"524","W9136                    ",2018,1,24
"525","W9130                    ",2018,1,22.7000007629395
"526","W8731                    ",2018,1,44.0400009155273
"527","W8706                    ",2018,1,425.309993743896
"528","W8702                    ",2018,1,313.090003967285
"529","W8697                    ",2018,1,153.430000305176
"530","W8321                    ",2018,1,85.4400024414062
"531","W8304                    ",2018,1,386.48999786377
"532","W6936                    ",2018,1,90.879997253418
"533","W546H                    ",2018,1,72.6999969482422
"534","W545H                    ",2018,1,35.8199996948242
"535","W534                     ",2018,1,23.2600002288818
"536","W3650                    ",2018,1,4295.59004974365
"537","W333H                    ",2018,1,54.4199981689453
"538","W3208                    ",2018,1,231.249996185303
"539","W3203                    ",2018,1,243.019996643066
"540","W223                     ",2018,1,36.6999998092651
"541","W212                     ",2018,1,45.9300012588501
"542","W211                     ",2018,1,43.3199987411499
"543","W1616T                   ",2018,1,814.940002441406
"544","VW1604.15.10             ",2018,1,625
"545","VW1004.15.10             ",2018,1,1809
"546","VS303.030                ",2018,1,999
"547","VS303.028                ",2018,1,333
"548","VS303.022                ",2018,1,370
"549","VS211.020                ",2018,1,180
"550","VS209.016                ",2018,1,171
